die Buslinie,bus route,,
die Busspur,bus lane,,
der Busbahnhof,bus station,,
der Fahrpreis,fare,,
der volle Fahrpreis,full fare,,
der halbe Fahrpreis,half fare,,
die Ermäßigung,concession,,
der Rollstuhlzugang,wheelchair access,,
der Nachtbus,night bus,,
der Shuttlebus,shuttle bus,,
der Schulbus,school bus,,
der Flughafenbus,airport bus,,
der Reisebus,tour bus,,
den Bus nehmen,to catch the bus,,
der Bus,bus,,
das Wartehäuschen,bus shelter,,
die Bushaltestelle,bus stop,,
der Reisebus,coach,,
der Kleinbus,minibus,,
der Trolleybus,trolley bus,,
